Species,p_value,Significance
Peptoniphilus harei,0.03481617391669937,*
Peptoniphilus lacrimalis,3.952649143239127e-4,***
Peptoniphilus sp BV3C26,0.42691490619888706,ns
Peptoniphilus sp HMSC062D09,0.039287650504573376,*
Peptostreptococcus anaerobius,0.07589804148555827,ns
Peptostreptococcus stomatis,0.3924351066513498,ns
Phascolarctobacterium faecium,0.06894413202469052,ns
Phascolarctobacterium sp CAG 266,1.2957591957198834e-4,***
Phascolarctobacterium succinatutens,1.3408770240767925e-5,****
Porphyromonas asaccharolytica,0.6824127526662803,ns
Porphyromonas endodontalis,0.3706215752470429,ns
Porphyromonas somerae,0.18206432534980052,ns
Porphyromonas sp HMSC065F10,0.05082404130160526,ns
Porphyromonas uenonis,0.32744729290697755,ns
Prevotella amnii,0.5788961813288109,ns
Prevotella bergensis,0.12971150278465943,ns
Prevotella bivia,0.20507554966038447,ns
Prevotella buccae,2.219705161371503e-5,****
Prevotella buccalis,0.5366496770303151,ns
Prevotella colorans,0.6277610082808853,ns
Prevotella copri,1.0479517144959975e-12,****
Prevotella corporis,0.007330361489326317,**
Prevotella dentalis,0.07756218675789307,ns
Prevotella denticola,0.014032114036406251,*
Prevotella disiens,0.08712363126303736,ns
Prevotella histicola,0.061756697653238525,ns
Prevotella intermedia,0.42691490619888706,ns
Prevotella jejuni,0.26716849576315027,ns
Prevotella melaninogenica,0.15504789180346587,ns
Prevotella nigrescens,0.07756218675789307,ns
Prevotella oralis,0.45059731795904057,ns
Prevotella oris,4.534652604355876e-4,***
Prevotella pallens,0.061756697653238525,ns
Prevotella salivae,0.42691490619888706,ns
Prevotella sp 885,0.13910505544993068,ns
Prevotella sp AM42 24,0.39519605926630214,ns
Prevotella sp CAG 1092,0.5788961813288109,ns
Prevotella sp CAG 1185,7.685936025951329e-20,****
Prevotella sp CAG 279,0.18274244755168098,ns
Prevotella sp CAG 520,0.5788961813288109,ns
Prevotella sp CAG 891,1.7108639679144983e-7,****
Prevotella sp S7 1 8,0.5788961813288109,ns
Prevotella stercorea,0.1176488599693855,ns
Prevotella timonensis,0.2181543750548518,ns
Proteobacteria bacterium CAG 139,5.496318089999826e-6,****
Proteus hauseri,0.009028171816455138,**
Proteus mirabilis,0.02462366552596472,*
Proteus penneri,0.006514585489195339,**
Proteus vulgaris,0.37488777739117835,ns
Providencia alcalifaciens,0.18206432534980052,ns
Pseudoflavonifractor capillosus,0.06438355539455251,ns
Pseudoflavonifractor sp An184,0.0028116908574303723,**
Pseudoflavonifractor sp An85,0.8193749108300619,ns
Pseudomonas aeruginosa group,0.017122594990007255,*
Pseudomonas fragi,0.42691490619888706,ns
Pseudomonas guguanensis,0.014032114036406251,*
Raoultella ornithinolytica,0.9266086140107156,ns
Raoultella planticola,0.5213967756680747,ns
Rikenella microfusus,0.0010712254176866863,**
Robinsoniella sp RHS,0.3260102002141773,ns
Romboutsia ilealis,0.05497991072809224,ns
Roseburia faecis,0.003104320635020975,**
Roseburia hominis,4.4214843094525693e-10,****
Roseburia intestinalis,1.134174250432552e-7,****
Roseburia inulinivorans,3.7682617341557086e-13,****
Roseburia sp CAG 182,1.383171180074838e-9,****
Roseburia sp CAG 303,5.4759892333280395e-9,****
Roseburia sp CAG 309,2.1271079043112604e-5,****
Roseburia sp CAG 471,0.005079318372383135,**
Rothia mucilaginosa,0.7381489066782121,ns
Ruminococcaceae bacterium D16,0.14758775037811545,ns
Ruminococcaceae bacterium D5,0.01623119367402397,*
Ruminococcus bicirculans,8.057924655085015e-10,****
Ruminococcus bromii,0.006405268524578711,**
Ruminococcus callidus,0.9972238472586025,ns
Ruminococcus champanellensis,5.113740693279156e-6,****
Ruminococcus gnavus,1.7406573092854961e-4,***
Ruminococcus lactaris,1.42886667293816e-12,****
Ruminococcus obeum CAG 39,0.4621296937575095,ns
Ruminococcus sp CAG 330,0.041956212465948654,*
Ruminococcus sp CAG 403,0.36282680676839796,ns
Ruminococcus sp CAG 488,0.5788961813288109,ns
Ruminococcus sp CAG 563,0.03725520228689569,*
Ruminococcus torques,7.226966839309237e-5,****
Ruthenibacterium lactatiformans,0.001883078620457934,**
Saccharomyces cerevisiae,0.27082529072517586,ns
Sanguibacteroides justesenii,2.931410108583525e-7,****
Scardovia wiggsiae,0.46105134905590545,ns
Sellimonas intestinalis,0.005563981065039991,**
Serratia liquefaciens,0.5788961813288109,ns
Serratia marcescens,0.061756697653238525,ns
Sharpea azabuensis,0.5221097844104319,ns
Shuttleworthia satelles,0.42691490619888706,ns
Slackia isoflavoniconvertens,0.7030361661785185,ns
Solobacterium moorei,0.31324229166070044,ns
Staphylococcus aureus,0.27163931228847926,ns
Staphylococcus epidermidis,0.2706279460035249,ns
Staphylococcus hominis,0.5788961813288109,ns
Streptococcus agalactiae,0.19360640078547137,ns
Streptococcus anginosus group,0.03725520228689569,*
Streptococcus australis,0.47631607099235423,ns
Streptococcus cristatus,0.42691490619888706,ns
Streptococcus gordonii,0.151365159115872,ns
Streptococcus infantis,0.744765499402163,ns
Streptococcus lutetiensis,0.12633170834091262,ns
Streptococcus macedonicus,0.42691490619888706,ns
Streptococcus milleri,0.42691490619888706,ns
Streptococcus mitis,2.213087041029459e-4,***
Streptococcus mutans,0.7024447634021194,ns
Streptococcus oralis,0.2283207094885317,ns
Streptococcus parasanguinis,0.8186343885734466,ns
Streptococcus pasteurianus,4.534652604355876e-4,***
Streptococcus salivarius,0.8478656051251047,ns
Streptococcus salivarius CAG 79,0.6480921419113232,ns
Streptococcus sanguinis,0.24554690028494144,ns
Streptococcus sp A12,0.1169229630073394,ns
Streptococcus sp F0442,0.288499846222306,ns
Streptococcus sp M334,0.07756218675789307,ns
Streptococcus thermophilus,0.31327711484136395,ns
Streptococcus vestibularis,0.7111322597626075,ns
Sutterella parvirubra,1.4676649364999679e-5,****
Terrisporobacter othiniensis,0.011947853370554415,*
Treponema lecithinolyticum,0.061756697653238525,ns
Turicibacter sanguinis,8.615393073614393e-4,***
Turicimonas muris,0.006493976718855018,**
Tyzzerella nexilis,0.26301400888802917,ns
Varibaculum cambriense,0.04125947497670092,*
Veillonella atypica,0.6040026930534819,ns
Veillonella dispar,0.048023602209005284,*
Veillonella infantium,0.021784867751146474,*
Veillonella parvula,0.028561102626923098,*
Veillonella rodentium,1.9175417918783954e-4,***
Veillonella rogosae,1.946940940695654e-4,***
Veillonella seminalis,0.002253157237300086,**
