Pathway,P_Omnibus_Kruskal,P_NonIBD_vs_CD,P_NonIBD_vs_UC,Mean_NonIBD,Mean_CD,Mean_UC,FDR_Omnibus,FDR_CD,FDR_UC,Status
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),2.50204089992072e-10,1.92079201410953e-05,1.33968103927655e-10,183.198303466667,169.284849006623,148.978465879265,2.01446369891053e-09,7.70056487898854e-05,3.00471318809168e-09,Depleted_in_UC
PWY-5686: UMP biosynthesis,1.83895805578161e-23,3.96913469597504e-24,2.13086574431978e-10,556.433634666667,495.243619205298,505.255194225722,1.44358207378856e-21,6.23154147268081e-22,4.46061229144273e-09,Depleted_in_UC
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",3.99842637045739e-10,2.15555451557532e-07,2.38028296363595e-10,6.27093443733333,11.8944788576159,9.74713950131234,3.06220946420396e-09,1.3536882357813e-06,4.67130531613555e-09,Enriched_in_UC
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",4.34415702576987e-15,4.26301502138825e-15,3.39503222945572e-10,8.87350165333333,19.9795242384106,16.1531397742782,7.17929108469336e-14,7.8740395100936e-14,6.27082423558293e-09,Enriched_in_UC
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,2.10639423019444e-09,0.000286927351600747,5.22875044918107e-10,101.46697344,94.2857286423841,79.8357025984252,1.40725061336395e-08,0.000751994718620726,9.12126467246031e-09,Depleted_in_UC
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,9.64784888586727e-12,0.383761152425175,7.2762373629168e-10,171.472522666667,168.158989900662,136.382166141732,9.46695171925725e-11,0.430360720933946,1.2024939641873e-08,Depleted_in_UC
"PWY-7013: L-1,2-propanediol degradation",3.11331749530335e-10,1.09918780774767e-08,9.02572246620865e-10,8.32465504,18.6447969619205,11.4575910761155,2.44395423381313e-09,7.84420390074473e-08,1.41703842719476e-08,Enriched_in_UC
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,1.30360423187935e-10,0.891061000409006,4.5583532815208e-09,33.6506070933333,36.2867403642384,22.4391111548556,1.16951922517176e-09,0.911378352209863,6.81582347808348e-08,Depleted_in_UC
PWY-6609: adenine and adenosine salvage III,5.98270662780659e-19,1.26313767048532e-19,5.42329063470648e-09,558.633514666667,501.71644205298,509.123724409449,1.87856988113127e-17,4.95781535665489e-18,7.74051481499016e-08,Depleted_in_UC
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),8.21517490678134e-20,9.68918164676717e-21,5.15884594832808e-08,507.044296,458.167266556291,462.563844356955,3.22445615091168e-18,6.08480607416978e-19,6.74949011572923e-07,Depleted_in_UC
PWY-6588: pyruvate fermentation to acetone,6.71745695103911e-10,1.5293576343411e-09,4.9606659458379e-08,6.86030487466667,12.2765181076159,11.6909214750656,5.02209876815781e-09,1.31942214416581e-08,6.74949011572923e-07,Enriched_in_UC
PWY66-409: superpathway of purine nucleotide salvage,3.16916421296241e-07,1.93740326573279e-05,8.41327961721228e-08,29.00713728,47.3379405960265,40.1893767454068,1.46340818069146e-06,7.70056487898854e-05,1.05670791992186e-06,Enriched_in_UC
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),2.73172167776536e-07,2.28459773821307e-05,9.47238740540952e-08,6.85054906666667,9.67112193708609,9.78385454068241,1.28023971166914e-06,8.74833768047444e-05,1.14397294049946e-06,Enriched_in_UC
PWY-7111: pyruvate fermentation to isobutanol (engineered),3.07046798529144e-09,1.0821049117536e-08,1.10930601670068e-07,590.99276,555.62251986755,542.911805774278,2.00859780704481e-08,7.84420390074473e-08,1.29008181201487e-06,Depleted_in_UC
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),1.82143943510657e-10,1.86196938822224e-10,1.56377649411478e-07,592.942546666667,551.029914569537,543.671585301837,1.50674875908687e-09,2.01606340655788e-09,1.62619262806388e-06,Depleted_in_UC
PWY-6143: CMP-pseudaminate biosynthesis,7.84361446287365e-14,3.95357396765864e-14,1.60547679840701e-07,18.38233816,6.68149627483444,9.94541942257218,1.0262062255593e-12,5.91153440878482e-13,1.62619262806388e-06,Depleted_in_UC
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",1.00725703875814e-07,9.23335307469472e-07,1.47373713481328e-07,6.323934168,9.09033274503311,7.69419409448819,5.10126951887187e-07,5.47032616123423e-06,1.62619262806388e-06,Enriched_in_UC
VALSYN-PWY: L-valine biosynthesis,1.82345391227074e-10,1.86196938822224e-10,1.56948897994158e-07,592.942546666667,551.029914569537,544.190371916011,1.50674875908687e-09,2.01606340655788e-09,1.62619262806388e-06,Depleted_in_UC
PWY-7219: adenosine ribonucleotides de novo biosynthesis,7.40612267442302e-19,2.96151177775948e-20,1.8893554300243e-07,593.554096,542.048955298013,545.741313385827,2.11411138160803e-17,1.54985783036079e-18,1.85393001571135e-06,Depleted_in_UC
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),1.73642803520581e-16,3.70430193576984e-17,2.12653026246696e-07,501.133568,459.138350827815,459.121294750656,3.89456002181875e-15,1.05740982530157e-15,2.02047932094465e-06,Depleted_in_UC
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,5.36218760863911e-07,0.0472149573582474,2.18778015643688e-07,159.54237608,154.080328327815,133.936737795276,2.33850959598983e-06,0.0683202608778326,2.02047932094465e-06,Depleted_in_UC
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,1.85302479734258e-07,2.39217812789847e-06,2.54484505561052e-07,18.5279061546667,37.4453248509934,23.275339343832,8.8159058540238e-07,1.2519065536002e-05,2.2830895641763e-06,Enriched_in_UC
